MSR_DT,STTN_NM,PM25,PM10,O3,CO,SO2,NO2,Month,Hour
2023-09-19 03:00:00,삼방동,9.0,23.0,0.019,0.34,0.0011,0.006,9.0,3.0
2023-03-29 23:00:00,삼방동,48.0,119.0,0.073,0.5,0.003,0.015,3.0,23.0
2023-01-10 06:00:00,삼방동,29.0,64.0,0.018,0.4,0.003,0.019,1.0,6.0
2023-10-14 05:00:00,삼방동,12.0,25.0,0.022,0.33,0.0019,0.016,10.0,5.0
2023-09-14 09:00:00,삼방동,5.0,9.0,0.036,0.4,0.001,0.011,9.0,9.0
,삼방동,12.0,23.0,0.023,0.3,0.003,0.016,,
2023-10-24 06:00:00,삼방동,28.0,47.0,0.005,0.47,0.0023,0.033,10.0,6.0
2023-12-16 21:00:00,삼방동,5.0,11.0,0.0339,0.3,0.0019,0.0081,12.0,21.0
2023-04-14 12:00:00,삼방동,23.0,99.0,0.005,0.46,0.003,0.054,4.0,12.0
2023-05-09 09:00:00,삼방동,24.0,47.0,0.017,0.49,0.003,0.037,5.0,9.0
2023-10-24 13:00:00,삼방동,11.0,39.0,0.055,0.31,0.002,0.013,10.0,13.0
2023-01-14 22:00:00,삼방동,0.0,9.0,0.04,,0.003,0.003,1.0,22.0
2023-09-20 13:00:00,삼방동,20.0,35.0,0.038,0.45,0.0022,0.014,9.0,13.0
2023-08-05 02:00:00,삼방동,4.0,11.0,0.015,0.31,0.0016,0.008,8.0,2.0
2023-03-22 09:00:00,삼방동,,,0.04,0.3,0.002,0.01,3.0,9.0
2023-05-01 21:00:00,삼방동,11.0,25.0,0.044,0.32,0.003,0.013,5.0,21.0
2023-03-30 03:00:00,삼방동,40.0,87.0,0.061,0.44,0.003,0.012,3.0,3.0
2023-11-01 19:00:00,삼방동,12.0,31.0,0.036,0.38,0.002,0.018,11.0,19.0
2023-03-25 11:00:00,삼방동,23.0,141.0,0.042,0.2,0.002,0.007,3.0,11.0
2023-12-08 10:00:00,삼방동,43.0,105.0,0.0035,1.24,0.0045,0.0569,12.0,10.0
2023-10-14 11:00:00,삼방동,23.0,47.0,0.037,0.41,0.0038,0.022,10.0,11.0
2023-06-12 22:00:00,삼방동,9.0,17.0,0.038,0.29,0.0027,0.009,6.0,22.0
2023-12-09 21:00:00,삼방동,17.0,43.0,0.0211,0.51,0.0021,0.0263,12.0,21.0
,삼방동,8.0,19.0,0.017,0.3,0.003,0.02,,
